x	y	random
0.01	-0.35	true
0.02	-0.35	true
0.03	-0.35	true
0.037071068	-0.35707107	true
0.044142134	-0.36414212	true
0.054142132	-0.36414212	true
0.061213203	-0.35707107	true
0.068284266	-0.35	true
0.068284266	-0.34	true
0.0612132	-0.33292893	true
0.054142132	-0.34	true
0.044142134	-0.34	true
0.034142133	-0.34	true
0.024142135	-0.34	true
0.014142134	-0.34	true
0.004142135	-0.34	true
-0.0029289334	-0.33292893	true
-0.012928933	-0.33292893	true
-0.020000001	-0.32585788	true
-0.030000001	-0.32585788	true
-0.04	-0.32585788	true
-0.05	-0.32585788	true
-0.06	-0.32585788	true
-0.067071065	-0.33292893	true
-0.074142136	-0.34	true
-0.08414213	-0.34	true
-0.09414213	-0.34	true
-0.10414214	-0.34	true
-0.114142135	-0.34	true
-0.12414213	-0.34	true
-0.13414213	-0.34	true
-0.14414214	-0.34	true
-0.1512132	-0.33292896	true
-0.15828426	-0.32585788	true
-0.16535534	-0.3187868	true
-0.17535533	-0.3187868	true
-0.18242641	-0.31171575	true
-0.1924264	-0.31171575	true
-0.2024264	-0.31171575	true
-0.20949747	-0.30464467	true
-0.20949747	-0.29464468	true
-0.20949747	-0.2846447	true
-0.20949747	-0.27464467	true
-0.20949748	-0.26464468	true
-0.2024264	-0.2575736	true
-0.19535534	-0.25050256	true
-0.18535534	-0.25050256	true
-0.17535535	-0.25050256	true
-0.16535534	-0.25050256	true
-0.15535533	-0.25050256	true
-0.14535534	-0.25050256	true
-0.13535534	-0.25050256	true
-0.12535535	-0.25050256	true
-0.11535534	-0.25050256	true
-0.10828427	-0.2575736	true
-0.10121321	-0.26464468	true
-0.10121321	-0.27464467	true
-0.10121321	-0.2846447	true
-0.10828427	-0.29171574	true
-0.10828427	-0.30171576	true
-0.10121321	-0.3087868	true
-0.09414214	-0.3158579	true
-0.08414214	-0.3158579	true
-0.07707107	-0.3087868	true
-0.06707107	-0.3087868	true
-0.060000006	-0.3158579	true
-0.05292894	-0.32292897	true
-0.042928938	-0.32292897	true
-0.03292894	-0.32292897	true
-0.025857871	-0.3158579	true
-0.018786803	-0.3087868	true
-0.011715736	-0.30171576	true
-0.0046446687	-0.29464468	true
0.0024263987	-0.2875736	true
0.0094974665	-0.28050256	true
0.016568534	-0.27343148	true
0.0236396	-0.2663604	true
0.033639602	-0.2663604	true
0.04071067	-0.27343148	true
0.050710667	-0.27343148	true
0.06071067	-0.27343148	true
0.06778174	-0.28050256	true
0.06778173	-0.29050255	true
0.06778173	-0.30050254	true
0.06778173	-0.31050253	true
0.06778173	-0.32050255	true
0.06778173	-0.33050254	true
0.06778173	-0.34050253	true
0.060710665	-0.3475736	true
0.0536396	-0.3546447	true
0.046568528	-0.36171573	true
0.03949746	-0.3687868	true
0.03242639	-0.3758579	true
0.022426393	-0.3758579	true
0.012426393	-0.3758579	true
0.0024263929	-0.3758579	true
-0.007573607	-0.37585786	true
-0.017573606	-0.37585786	true
-0.027573606	-0.37585786	true
-0.034644675	-0.3687868	true
-0.04171574	-0.36171573	true
-0.048786808	-0.35464466	true
-0.055857874	-0.3475736	true
-0.05585787	-0.3375736	true
-0.05585787	-0.3275736	true
-0.05585787	-0.3175736	true
-0.0487868	-0.31050253	true
-0.041715734	-0.30343148	true
-0.04171573	-0.29343146	true
-0.048786797	-0.2863604	true
-0.055857863	-0.27928934	true
-0.065857865	-0.27928934	true
-0.072928935	-0.28636038	true
-0.08292893	-0.28636038	true
-0.09292893	-0.28636038	true
-0.1	-0.29343146	true
-0.10707107	-0.30050254	true
-0.10707107	-0.31050253	true
-0.10707107	-0.32050252	true
-0.10707107	-0.33050254	true
-0.1	-0.3375736	true
-0.09292894	-0.34464467	true
-0.08585787	-0.35171574	true
-0.0787868	-0.3587868	true
-0.071715735	-0.36585787	true
-0.064644665	-0.37292895	true
-0.054644667	-0.37292895	true
-0.047573596	-0.38	true
-0.0375736	-0.38	true
-0.03050253	-0.37292895	true
-0.02050253	-0.37292895	true
-0.010502531	-0.37292895	true
-0.02050253	-0.37292895	true
-0.03050253	-0.37292895	true
-0.04050253	-0.37292895	true
-0.05050253	-0.37292892	true
-0.06050253	-0.37292892	true
-0.07050253	-0.37292892	true
-0.08050253	-0.37292892	true
-0.087573595	-0.36585787	true
-0.087573595	-0.35585785	true
-0.087573595	-0.34585786	true
-0.087573595	-0.33585787	true
-0.08757359	-0.32585785	true
-0.08757359	-0.31585786	true
-0.08757359	-0.30585787	true
-0.08757359	-0.29585788	true
-0.08757359	-0.28585786	true
-0.08757359	-0.27585787	true
-0.08757358	-0.26585788	true
-0.08757358	-0.25585786	true
-0.08757358	-0.24585786	true
-0.08757358	-0.23585786	true
-0.08757358	-0.22585787	true
-0.09464464	-0.21878679	true
-0.101715714	-0.21171573	true
-0.10878678	-0.20464467	true
-0.11585785	-0.19757359	true
-0.12292891	-0.19050252	true
-0.13292891	-0.19050252	true
-0.14292891	-0.19050252	true
-0.15292892	-0.19050252	true
-0.16292891	-0.19050252	true
-0.16999997	-0.18343145	true
-0.17707105	-0.17636038	true
-0.18707104	-0.17636038	true
-0.19707105	-0.17636038	true
-0.20707105	-0.17636038	true
-0.21707104	-0.17636038	true
-0.22414212	-0.18343145	true
-0.23121318	-0.19050251	true
-0.23121318	-0.20050251	true
-0.23121318	-0.2105025	true
-0.22414212	-0.21757358	true
-0.21707104	-0.22464465	true
-0.20999998	-0.23171571	true
-0.20292892	-0.23878679	true
-0.19292891	-0.23878679	true
-0.1829289	-0.23878679	true
