x	y	random
0.01	-0.35	true
0.017071066	-0.35707107	true
0.024142135	-0.36414212	true
0.017071066	-0.3712132	true
0.009999999	-0.37828428	true
0.019999998	-0.37828428	true
0.029999997	-0.37828428	true
0.04	-0.37828428	true
0.049999997	-0.37828428	true
0.06	-0.37828428	true
0.07	-0.37828428	true
0.08	-0.37828428	true
0.089999996	-0.37828428	true
0.099999994	-0.37828428	true
0.11	-0.37828428	true
0.12	-0.37828428	true
0.12707107	-0.3712132	true
0.13414213	-0.36414212	true
0.14414214	-0.36414212	true
0.15414213	-0.36414212	true
0.16414213	-0.36414212	true
0.1712132	-0.35707107	true
0.1812132	-0.35707107	true
0.18828426	-0.35	true
0.19535533	-0.34292892	true
0.2024264	-0.33585787	true
0.20949747	-0.3287868	true
0.21656853	-0.3217157	true
0.2236396	-0.31464466	true
0.23071067	-0.3075736	true
0.23778173	-0.3005025	true
0.24485281	-0.29343146	true
0.25192386	-0.28636038	true
0.25899494	-0.2792893	true
0.266066	-0.27221826	true
0.27313706	-0.26514718	true
0.28020814	-0.2580761	true
0.28727922	-0.25100505	true
0.29435027	-0.24393398	true
0.28727922	-0.25100505	true
0.28020814	-0.2580761	true
0.27313706	-0.26514718	true
0.28020814	-0.2580761	true
0.28727922	-0.25100505	true
0.29435027	-0.24393398	true
0.30142134	-0.23686291	true
0.30849242	-0.22979183	true
0.31556347	-0.22272077	true
0.32263455	-0.21564971	true
0.32970563	-0.20857863	true
0.33677667	-0.20150757	true
0.34384775	-0.1944365	true
0.34384775	-0.1844365	true
0.33677667	-0.17736544	true
0.32970563	-0.17029436	true
0.32263455	-0.1632233	true
0.31556347	-0.15615223	true
0.31556347	-0.14615223	true
0.32263455	-0.13908117	true
0.3297056	-0.1320101	true
0.3297056	-0.1220101	true
0.3297056	-0.1120101	true
0.32263455	-0.10493903	true
0.32263455	-0.09493903	true
0.32263455	-0.084939025	true
0.31556347	-0.07786796	true
0.31556347	-0.067867965	true
