trial	group	subject	repetition	x	y	random
training	oneLayer	oneLayer - rat 2	0	0.010082014	-0.35	false
training	oneLayer	oneLayer - rat 2	0	0.020756632	-0.35	false
training	oneLayer	oneLayer - rat 2	0	0.031101119	-0.35	false
training	oneLayer	oneLayer - rat 2	0	0.04205923	-0.35	false
training	oneLayer	oneLayer - rat 2	0	0.052950904	-0.35	false
training	oneLayer	oneLayer - rat 2	0	0.06344309	-0.35	false
training	oneLayer	oneLayer - rat 2	0	0.074330285	-0.35	false
training	oneLayer	oneLayer - rat 2	0	0.084467664	-0.35	false
training	oneLayer	oneLayer - rat 2	0	0.09546472	-0.35	false
training	oneLayer	oneLayer - rat 2	0	0.10558183	-0.35	false
training	oneLayer	oneLayer - rat 2	0	0.11633299	-0.35	false
training	oneLayer	oneLayer - rat 2	0	0.12638599	-0.35	false
training	oneLayer	oneLayer - rat 2	0	0.13710222	-0.35	false
training	oneLayer	oneLayer - rat 2	0	0.14794225	-0.35	false
training	oneLayer	oneLayer - rat 2	0	0.15820852	-0.35	false
training	oneLayer	oneLayer - rat 2	0	0.16905215	-0.35	false
training	oneLayer	oneLayer - rat 2	0	0.1792709	-0.35	false
training	oneLayer	oneLayer - rat 2	0	0.18927512	-0.35	false
training	oneLayer	oneLayer - rat 2	0	0.20025781	-0.35	false
training	oneLayer	oneLayer - rat 2	0	0.21079828	-0.35	false
training	oneLayer	oneLayer - rat 2	0	0.22141051	-0.35	false
training	oneLayer	oneLayer - rat 2	0	0.23191771	-0.35	false
training	oneLayer	oneLayer - rat 2	0	0.24260955	-0.35	false
training	oneLayer	oneLayer - rat 2	0	0.25341988	-0.35	false
training	oneLayer	oneLayer - rat 2	0	0.26283616	-0.34609964	false
training	oneLayer	oneLayer - rat 2	0	0.27211216	-0.3422574	false
training	oneLayer	oneLayer - rat 2	0	0.2816019	-0.33832663	false
training	oneLayer	oneLayer - rat 2	0	0.2816019	-0.33832663	false
training	oneLayer	oneLayer - rat 2	0	0.28922677	-0.33070177	false
training	oneLayer	oneLayer - rat 2	0	0.29330045	-0.32086697	false
training	oneLayer	oneLayer - rat 2	0	0.29330045	-0.31034008	false
training	oneLayer	oneLayer - rat 2	0	0.28945947	-0.30106708	false
training	oneLayer	oneLayer - rat 2	0	0.28550345	-0.29151642	false
training	oneLayer	oneLayer - rat 2	0	0.28159893	-0.28209004	false
training	oneLayer	oneLayer - rat 2	0	0.2774936	-0.27217892	false
training	oneLayer	oneLayer - rat 2	0	0.27041602	-0.26510134	false
training	oneLayer	oneLayer - rat 2	0	0.2632235	-0.25790885	false
training	oneLayer	oneLayer - rat 2	0	0.25553957	-0.2502249	false
training	oneLayer	oneLayer - rat 2	0	0.24825692	-0.24294226	false
training	oneLayer	oneLayer - rat 2	0	0.2407686	-0.23545393	false
training	oneLayer	oneLayer - rat 2	0	0.23334326	-0.2280286	false
training	oneLayer	oneLayer - rat 2	0	0.22567953	-0.22036487	false
training	oneLayer	oneLayer - rat 2	0	0.21833995	-0.21302529	false
training	oneLayer	oneLayer - rat 2	0	0.21056657	-0.20525192	false
training	oneLayer	oneLayer - rat 2	0	0.20316812	-0.19785346	false
training	oneLayer	oneLayer - rat 2	0	0.19604062	-0.19072597	false
training	oneLayer	oneLayer - rat 2	0	0.18858196	-0.1832673	false
training	oneLayer	oneLayer - rat 2	0	0.181364	-0.17604935	false
training	oneLayer	oneLayer - rat 2	0	0.17386554	-0.1685509	false
training	oneLayer	oneLayer - rat 2	0	0.16664158	-0.16132692	false
training	oneLayer	oneLayer - rat 2	0	0.15923268	-0.15391803	false
training	oneLayer	oneLayer - rat 2	0	0.15205397	-0.14673932	false
training	oneLayer	oneLayer - rat 2	0	0.14449434	-0.13917969	false
training	oneLayer	oneLayer - rat 2	0	0.13677202	-0.13145737	false
training	oneLayer	oneLayer - rat 2	0	0.12954065	-0.124226004	false
training	oneLayer	oneLayer - rat 2	0	0.12194669	-0.116632044	false
training	oneLayer	oneLayer - rat 2	0	0.114373766	-0.109059125	false
training	oneLayer	oneLayer - rat 2	0	0.106922455	-0.10160781	false
training	oneLayer	oneLayer - rat 2	0	0.09940085	-0.09408621	false
training	oneLayer	oneLayer - rat 2	0	0.09182321	-0.08650857	false
training	oneLayer	oneLayer - rat 2	0	0.08460373	-0.079289086	false
training	oneLayer	oneLayer - rat 2	0	0.07685756	-0.07154292	false
training	oneLayer	oneLayer - rat 2	0	0.06977732	-0.064462684	false
training	oneLayer	oneLayer - rat 2	0	0.06252025	-0.05720561	false
training	oneLayer	oneLayer - rat 2	0	0.054931648	-0.04961701	false
training	oneLayer	oneLayer - rat 2	0	0.04715468	-0.041840043	false
training	oneLayer	oneLayer - rat 2	0	0.039807882	-0.03449325	false
training	oneLayer	oneLayer - rat 2	0	0.032674607	-0.027359974	false
training	oneLayer	oneLayer - rat 2	0	0.025398606	-0.020083973	false
training	oneLayer	oneLayer - rat 2	0	0.017708452	-0.01239382	false
training	oneLayer	oneLayer - rat 2	0	0.01043293	-0.0051182993	false
training	oneLayer	oneLayer - rat 2	0	0.0027141704	0.0026004596	false
training	oneLayer	oneLayer - rat 2	0	-0.004624551	0.009939181	false
training	oneLayer	oneLayer - rat 2	0	-0.011965594	0.017280223	false
training	oneLayer	oneLayer - rat 2	0	-0.019276883	0.024591511	false
training	oneLayer	oneLayer - rat 2	0	-0.02655645	0.031871077	false
training	oneLayer	oneLayer - rat 2	0	-0.034169942	0.039484564	false
training	oneLayer	oneLayer - rat 2	0	-0.04181407	0.047128696	false
training	oneLayer	oneLayer - rat 2	0	-0.049422916	0.054737538	false
training	oneLayer	oneLayer - rat 2	0	-0.05702727	0.06234189	false
training	oneLayer	oneLayer - rat 2	0	-0.064484365	0.06979898	false
training	oneLayer	oneLayer - rat 2	0	-0.07190545	0.07722007	false
training	oneLayer	oneLayer - rat 2	0	-0.07946752	0.08478214	false
