trial	group	subject	repetition	x	y	random
training	oneLayer	oneLayer - rat 1	0	0.009471097	-0.34607694	false
training	oneLayer	oneLayer - rat 1	0	0.016664844	-0.3388832	false
training	oneLayer	oneLayer - rat 1	0	0.02083464	-0.3288164	false
training	oneLayer	oneLayer - rat 1	0	0.02083464	-0.3187998	false
training	oneLayer	oneLayer - rat 1	0	0.01698766	-0.30951238	false
training	oneLayer	oneLayer - rat 1	0	0.009614987	-0.3021397	false
training	oneLayer	oneLayer - rat 1	0	0.0019414177	-0.29446614	false
training	oneLayer	oneLayer - rat 1	0	-0.0051576965	-0.28736702	false
training	oneLayer	oneLayer - rat 1	0	-0.012289358	-0.28023538	false
training	oneLayer	oneLayer - rat 1	0	-0.019362815	-0.27316192	false
training	oneLayer	oneLayer - rat 1	0	-0.026992518	-0.2655322	false
training	oneLayer	oneLayer - rat 1	0	-0.034137715	-0.258387	false
training	oneLayer	oneLayer - rat 1	0	-0.041783392	-0.25074133	false
training	oneLayer	oneLayer - rat 1	0	-0.049343016	-0.24318172	false
training	oneLayer	oneLayer - rat 1	0	-0.056488287	-0.23603645	false
training	oneLayer	oneLayer - rat 1	0	-0.064175114	-0.22834961	false
training	oneLayer	oneLayer - rat 1	0	-0.071659684	-0.22086506	false
training	oneLayer	oneLayer - rat 1	0	-0.07931323	-0.2132115	false
training	oneLayer	oneLayer - rat 1	0	-0.08641913	-0.2061056	false
training	oneLayer	oneLayer - rat 1	0	-0.093935415	-0.19858932	false
training	oneLayer	oneLayer - rat 1	0	-0.1017084	-0.19081634	false
training	oneLayer	oneLayer - rat 1	0	-0.109404236	-0.1831205	false
training	oneLayer	oneLayer - rat 1	0	-0.11679884	-0.1757259	false
training	oneLayer	oneLayer - rat 1	0	-0.12404388	-0.16848086	false
training	oneLayer	oneLayer - rat 1	0	-0.13135749	-0.16116725	false
training	oneLayer	oneLayer - rat 1	0	-0.13903882	-0.15348592	false
training	oneLayer	oneLayer - rat 1	0	-0.14664954	-0.1458752	false
training	oneLayer	oneLayer - rat 1	0	-0.15392636	-0.13859838	false
training	oneLayer	oneLayer - rat 1	0	-0.16162948	-0.13089526	false
training	oneLayer	oneLayer - rat 1	0	-0.16905582	-0.12346892	false
training	oneLayer	oneLayer - rat 1	0	-0.17677481	-0.11574993	false
training	oneLayer	oneLayer - rat 1	0	-0.18394645	-0.1085783	false
training	oneLayer	oneLayer - rat 1	0	-0.19356768	-0.10459306	false
training	oneLayer	oneLayer - rat 1	0	-0.20354404	-0.100460716	false
training	oneLayer	oneLayer - rat 1	0	-0.21329834	-0.096420355	false
training	oneLayer	oneLayer - rat 1	0	-0.22274747	-0.092506394	false
training	oneLayer	oneLayer - rat 1	0	-0.23282708	-0.08833128	false
training	oneLayer	oneLayer - rat 1	0	-0.24260637	-0.084280565	false
training	oneLayer	oneLayer - rat 1	0	-0.25259194	-0.08014442	false
training	oneLayer	oneLayer - rat 1	0	-0.26224428	-0.076146275	false
training	oneLayer	oneLayer - rat 1	0	-0.2722746	-0.071991585	false
training	oneLayer	oneLayer - rat 1	0	-0.28157085	-0.06814096	false
training	oneLayer	oneLayer - rat 1	0	-0.2908674	-0.06429021	false
training	oneLayer	oneLayer - rat 1	0	-0.3005334	-0.06028641	false
training	oneLayer	oneLayer - rat 1	0	-0.31025672	-0.056258887	false
training	oneLayer	oneLayer - rat 1	0	-0.31957254	-0.052400146	false
training	oneLayer	oneLayer - rat 1	0	-0.32895067	-0.048515603	false
training	oneLayer	oneLayer - rat 1	0	-0.33910173	-0.044310898	false
training	oneLayer	oneLayer - rat 1	0	-0.34902668	-0.04019985	false
training	oneLayer	oneLayer - rat 1	0	-0.35830456	-0.036356825	false
training	oneLayer	oneLayer - rat 1	0	-0.36796057	-0.03235718	false
training	oneLayer	oneLayer - rat 1	0	-0.37733164	-0.028475542	false
training	oneLayer	oneLayer - rat 1	0	-0.38690504	-0.024510114	false
training	oneLayer	oneLayer - rat 1	0	-0.39675933	-0.020428337	false
training	oneLayer	oneLayer - rat 1	0	-0.40647906	-0.016402295	false
training	oneLayer	oneLayer - rat 1	0	-0.41381446	-0.009066887	false
training	oneLayer	oneLayer - rat 1	0	-0.41794342	9.012859E-4	false
training	oneLayer	oneLayer - rat 1	0	-0.41794342	0.011329207	false
training	oneLayer	oneLayer - rat 1	0	-0.41794342	0.021884685	false
training	oneLayer	oneLayer - rat 1	0	-0.41794342	0.032686014	false
training	oneLayer	oneLayer - rat 1	0	-0.41794342	0.042774253	false
training	oneLayer	oneLayer - rat 1	0	-0.41794342	0.05295705	false
training	oneLayer	oneLayer - rat 1	0	-0.41794342	0.063547745	false
training	oneLayer	oneLayer - rat 1	0	-0.41794342	0.07408241	false
