x	y
0.0	0.4
6.123234E-19	0.39000002
1.2246468E-18	0.38
1.8369702E-18	0.37
2.4492936E-18	0.36
3.061617E-18	0.35
3.6739405E-18	0.34
4.286264E-18	0.33
4.898587E-18	0.32
5.5109105E-18	0.31
6.123234E-18	0.3
6.735557E-18	0.29000002
7.347881E-18	0.28
7.960204E-18	0.27
8.572528E-18	0.26000002
9.1848506E-18	0.25
9.797174E-18	0.24000001
1.0409497E-17	0.23
1.1021821E-17	0.22000001
1.1634144E-17	0.21000001
1.2246468E-17	0.20000002
1.28587915E-17	0.19000001
1.3471114E-17	0.18
1.4083438E-17	0.17000002
1.4695762E-17	0.16000001
1.5308084E-17	0.15
1.5920408E-17	0.14000002
1.6532732E-17	0.13000001
1.7145055E-17	0.12000001
1.7757377E-17	0.110000014
1.8369701E-17	0.10000001
1.8982025E-17	0.09000001
1.9594349E-17	0.08000001
2.0206672E-17	0.070000015
2.0818995E-17	0.060000014
2.1431318E-17	0.050000012
2.2043642E-17	0.040000014
2.2655966E-17	0.030000014
2.3268288E-17	0.020000014
2.3880612E-17	0.010000015
2.4492935E-17	1.4901161E-8
2.5105259E-17	-0.009999985
2.5717583E-17	-0.019999985
2.6329905E-17	-0.029999984
2.6942229E-17	-0.039999984
2.7554553E-17	-0.049999982
2.8166876E-17	-0.059999984
2.87792E-17	-0.069999985
2.9391524E-17	-0.07999998
3.0003846E-17	-0.08999998
3.0616168E-17	-0.09999998
3.1228493E-17	-0.109999985
3.1840816E-17	-0.11999998
3.245314E-17	-0.12999998
3.3065463E-17	-0.13999999
3.3677785E-17	-0.14999998
3.429011E-17	-0.15999998
3.4902433E-17	-0.16999999
3.5514755E-17	-0.17999998
x	y
0.0	0.4
6.123234E-19	0.39000002
1.2246468E-18	0.38
1.8369702E-18	0.37
2.4492936E-18	0.36
3.061617E-18	0.35
3.6739405E-18	0.34
4.286264E-18	0.33
4.898587E-18	0.32
5.5109105E-18	0.31
6.123234E-18	0.3
6.735557E-18	0.29000002
7.347881E-18	0.28
7.960204E-18	0.27
8.572528E-18	0.26000002
9.1848506E-18	0.25
9.797174E-18	0.24000001
1.0409497E-17	0.23
1.1021821E-17	0.22000001
1.1634144E-17	0.21000001
1.2246468E-17	0.20000002
1.28587915E-17	0.19000001
1.3471114E-17	0.18
1.4083438E-17	0.17000002
1.4695762E-17	0.16000001
1.5308084E-17	0.15
1.5920408E-17	0.14000002
1.6532732E-17	0.13000001
1.7145055E-17	0.12000001
1.7757377E-17	0.110000014
1.8369701E-17	0.10000001
1.8982025E-17	0.09000001
1.9594349E-17	0.08000001
2.0206672E-17	0.070000015
2.0818995E-17	0.060000014
2.1431318E-17	0.050000012
2.2043642E-17	0.040000014
2.2655966E-17	0.030000014
2.3268288E-17	0.020000014
2.3880612E-17	0.010000015
2.4492935E-17	1.4901161E-8
2.5105259E-17	-0.009999985
2.5717583E-17	-0.019999985
2.6329905E-17	-0.029999984
2.6942229E-17	-0.039999984
2.7554553E-17	-0.049999982
2.8166876E-17	-0.059999984
2.87792E-17	-0.069999985
2.9391524E-17	-0.07999998
3.0003846E-17	-0.08999998
3.0616168E-17	-0.09999998
3.1228493E-17	-0.109999985
3.1840816E-17	-0.11999998
3.245314E-17	-0.12999998
3.3065463E-17	-0.13999999
3.3677785E-17	-0.14999998
3.429011E-17	-0.15999998
3.4902433E-17	-0.16999999
3.5514755E-17	-0.17999998
x	y
0.0	0.4
6.123234E-19	0.39000002
1.2246468E-18	0.38
1.8369702E-18	0.37
2.4492936E-18	0.36
3.061617E-18	0.35
3.6739405E-18	0.34
4.286264E-18	0.33
4.898587E-18	0.32
5.5109105E-18	0.31
6.123234E-18	0.3
6.735557E-18	0.29000002
7.347881E-18	0.28
7.960204E-18	0.27
8.572528E-18	0.26000002
9.1848506E-18	0.25
9.797174E-18	0.24000001
1.0409497E-17	0.23
1.1021821E-17	0.22000001
1.1634144E-17	0.21000001
-0.1	0.20000002
-0.2	0.19000001
-0.2	0.19000001
-0.26363963	0.11221826
-0.25656855	0.1051472
-0.24949747	0.09807613
-0.24242641	0.091005065
-0.23535535	0.083933994
-0.22828427	0.076862924
-0.2212132	0.06979186
-0.21414214	0.06272079
-0.20707107	0.055649724
-0.2	0.048578653
-0.19292894	0.041507587
-0.18585788	0.03443652
-0.1787868	0.027365452
-0.17171574	0.020294385
-0.16464467	0.0132233165
-0.1575736	0.006152249
-0.15050253	-9.1881864E-4
-0.14343147	-0.007989886
-0.13636039	-0.015060954
-0.12928933	-0.022132022
-0.12221826	-0.029203089
-0.115147196	-0.036274157
-0.108076125	-0.043345224
-0.101005055	-0.05041629
-0.09393399	-0.05748736
-0.08686292	-0.064558424
-0.07979186	-0.071629494
-0.07272079	-0.078700565
-0.06564972	-0.08577163
-0.05857865	-0.0928427
-0.051507585	-0.09991377
-0.044436518	-0.10698483
-0.037365448	-0.1140559
-0.030294381	-0.12112697
-0.030294381	-0.12112697
-0.030294381	-0.13112697
-0.030294381	-0.13112697
-0.023223314	-0.13819803
-0.023223314	-0.13819803
-0.023223314	-0.14819804
-0.023223314	-0.14819804
-0.016152246	-0.1552691
-0.016152246	-0.1552691
-0.016152246	-0.1652691
-0.016152246	-0.1652691
-0.009081179	-0.17234017
x	y
0.0	0.4
6.123234E-19	0.39000002
1.2246468E-18	0.38
1.8369702E-18	0.37
2.4492936E-18	0.36
3.061617E-18	0.35
3.6739405E-18	0.34
4.286264E-18	0.33
4.898587E-18	0.32
5.5109105E-18	0.31
6.123234E-18	0.3
6.735557E-18	0.29000002
7.347881E-18	0.28
7.960204E-18	0.27
8.572528E-18	0.26000002
9.1848506E-18	0.25
9.797174E-18	0.24000001
1.0409497E-17	0.23
1.1021821E-17	0.22000001
1.1634144E-17	0.21000001
1.2246468E-17	0.20000002
1.28587915E-17	0.19000001
1.3471114E-17	0.18
1.4083438E-17	0.17000002
1.4695762E-17	0.16000001
1.5308084E-17	0.15
1.5920408E-17	0.14000002
1.6532732E-17	0.13000001
1.7145055E-17	0.12000001
1.7757377E-17	0.110000014
1.8369701E-17	0.10000001
1.8982025E-17	0.09000001
1.9594349E-17	0.08000001
2.0206672E-17	0.070000015
2.0818995E-17	0.060000014
2.1431318E-17	0.050000012
2.2043642E-17	0.040000014
2.2655966E-17	0.030000014
2.3268288E-17	0.020000014
2.3880612E-17	0.010000015
2.4492935E-17	1.4901161E-8
2.5105259E-17	-0.009999985
2.5717583E-17	-0.019999985
2.6329905E-17	-0.029999984
2.6942229E-17	-0.039999984
2.7554553E-17	-0.049999982
2.8166876E-17	-0.059999984
2.87792E-17	-0.069999985
2.9391524E-17	-0.07999998
3.0003846E-17	-0.08999998
3.0616168E-17	-0.09999998
3.1228493E-17	-0.109999985
3.1840816E-17	-0.11999998
3.245314E-17	-0.12999998
3.3065463E-17	-0.13999999
3.3677785E-17	-0.14999998
3.429011E-17	-0.15999998
3.4902433E-17	-0.16999999
3.5514755E-17	-0.17999998
x	y
0.0	0.4
6.123234E-19	0.39000002
1.2246468E-18	0.38
1.8369702E-18	0.37
2.4492936E-18	0.36
3.061617E-18	0.35
3.6739405E-18	0.34
4.286264E-18	0.33
4.898587E-18	0.32
5.5109105E-18	0.31
6.123234E-18	0.3
6.735557E-18	0.29000002
7.347881E-18	0.28
7.960204E-18	0.27
8.572528E-18	0.26000002
9.1848506E-18	0.25
9.797174E-18	0.24000001
1.0409497E-17	0.23
1.1021821E-17	0.22000001
1.1634144E-17	0.21000001
1.2246468E-17	0.20000002
1.28587915E-17	0.19000001
1.3471114E-17	0.18
1.4083438E-17	0.17000002
1.4695762E-17	0.16000001
1.5308084E-17	0.15
1.5920408E-17	0.14000002
1.6532732E-17	0.13000001
1.7145055E-17	0.12000001
1.7757377E-17	0.110000014
1.8369701E-17	0.10000001
1.8982025E-17	0.09000001
1.9594349E-17	0.08000001
2.0206672E-17	0.070000015
2.0818995E-17	0.060000014
2.1431318E-17	0.050000012
2.2043642E-17	0.040000014
2.2655966E-17	0.030000014
2.3268288E-17	0.020000014
2.3880612E-17	0.010000015
2.4492935E-17	1.4901161E-8
2.5105259E-17	-0.009999985
2.5717583E-17	-0.019999985
2.6329905E-17	-0.029999984
2.6942229E-17	-0.039999984
2.7554553E-17	-0.049999982
2.8166876E-17	-0.059999984
2.87792E-17	-0.069999985
2.9391524E-17	-0.07999998
3.0003846E-17	-0.08999998
3.0616168E-17	-0.09999998
3.1228493E-17	-0.109999985
3.1840816E-17	-0.11999998
3.245314E-17	-0.12999998
3.3065463E-17	-0.13999999
3.3677785E-17	-0.14999998
3.429011E-17	-0.15999998
3.4902433E-17	-0.16999999
3.5514755E-17	-0.17999998
x	y
0.0	0.4
6.123234E-19	0.39000002
1.2246468E-18	0.38
1.8369702E-18	0.37
2.4492936E-18	0.36
3.061617E-18	0.35
3.6739405E-18	0.34
4.286264E-18	0.33
4.898587E-18	0.32
5.5109105E-18	0.31
6.123234E-18	0.3
6.735557E-18	0.29000002
7.347881E-18	0.28
7.960204E-18	0.27
8.572528E-18	0.26000002
9.1848506E-18	0.25
9.797174E-18	0.24000001
1.0409497E-17	0.23
1.1021821E-17	0.22000001
1.1634144E-17	0.21000001
1.2246468E-17	0.20000002
1.28587915E-17	0.19000001
1.3471114E-17	0.18
1.4083438E-17	0.17000002
1.4695762E-17	0.16000001
1.5308084E-17	0.15
1.5920408E-17	0.14000002
1.6532732E-17	0.13000001
1.7145055E-17	0.12000001
1.7757377E-17	0.110000014
1.8369701E-17	0.10000001
1.8982025E-17	0.09000001
1.9594349E-17	0.08000001
2.0206672E-17	0.070000015
2.0818995E-17	0.060000014
2.1431318E-17	0.050000012
2.2043642E-17	0.040000014
2.2655966E-17	0.030000014
2.3268288E-17	0.020000014
2.3880612E-17	0.010000015
2.4492935E-17	1.4901161E-8
2.5105259E-17	-0.009999985
2.5717583E-17	-0.019999985
2.6329905E-17	-0.029999984
2.6942229E-17	-0.039999984
2.7554553E-17	-0.049999982
2.8166876E-17	-0.059999984
2.87792E-17	-0.069999985
2.9391524E-17	-0.07999998
3.0003846E-17	-0.08999998
3.0616168E-17	-0.09999998
3.1228493E-17	-0.109999985
3.1840816E-17	-0.11999998
3.245314E-17	-0.12999998
3.3065463E-17	-0.13999999
3.3677785E-17	-0.14999998
3.429011E-17	-0.15999998
3.4902433E-17	-0.16999999
3.5514755E-17	-0.17999998
