x	y
0.0	-0.4
6.123234E-19	-0.39000002
1.2246468E-18	-0.38
1.8369702E-18	-0.37
2.4492936E-18	-0.36
3.061617E-18	-0.35
3.6739405E-18	-0.34
4.286264E-18	-0.33
4.898587E-18	-0.32
5.5109105E-18	-0.31
6.123234E-18	-0.3
6.735557E-18	-0.29000002
7.347881E-18	-0.28
7.960204E-18	-0.27
8.572528E-18	-0.26000002
9.1848506E-18	-0.25
9.797174E-18	-0.24000001
1.0409497E-17	-0.23
1.1021821E-17	-0.22000001
1.1634144E-17	-0.21000001
1.2246468E-17	-0.20000002
1.28587915E-17	-0.19000001
1.3471114E-17	-0.18
1.4083438E-17	-0.17000002
1.4695762E-17	-0.16000001
1.5308084E-17	-0.15
