trial	subject	repetition	x	y	random
train	rat4	0	0.01	-0.35	false
train	rat4	0	0.02	-0.35	false
train	rat4	0	0.03	-0.35	false
train	rat4	0	0.037071068	-0.35707107	false
train	rat4	0	0.044142134	-0.36414212	false
train	rat4	0	0.044142134	-0.37414214	false
train	rat4	0	0.044142134	-0.38414213	false
train	rat4	0	0.044142134	-0.39414212	false
train	rat4	0	0.0512132	-0.4012132	false
train	rat4	0	0.0612132	-0.4012132	false
train	rat4	0	0.0712132	-0.4012132	false
train	rat4	0	0.07828427	-0.39414212	false
train	rat4	0	0.085355334	-0.38707107	false
train	rat4	0	0.09535533	-0.38707107	false
train	rat4	0	0.10535534	-0.38707107	false
train	rat4	0	0.115355335	-0.38707107	false
train	rat4	0	0.12535533	-0.38707107	false
train	rat4	0	0.13535534	-0.38707107	false
train	rat4	0	0.14535533	-0.38707107	false
train	rat4	0	0.1524264	-0.39414212	false
train	rat4	0	0.15949747	-0.4012132	false
train	rat4	0	0.16949748	-0.4012132	false
train	rat4	0	0.16949748	-0.3912132	false
train	rat4	0	0.16949748	-0.3812132	false
train	rat4	0	0.16949746	-0.3712132	false
train	rat4	0	0.16949746	-0.3612132	false
train	rat4	0	0.16949746	-0.3512132	false
train	rat4	0	0.16949746	-0.3412132	false
train	rat4	0	0.1624264	-0.33414212	false
train	rat4	0	0.15535533	-0.32707107	false
train	rat4	0	0.15535533	-0.31707105	false
train	rat4	0	0.14828426	-0.31	false
train	rat4	0	0.14828426	-0.32	true
train	rat4	0	0.1412132	-0.32707107	false
train	rat4	0	0.13414213	-0.33414212	false
train	rat4	0	0.12707105	-0.3412132	false
train	rat4	0	0.11999999	-0.34828427	false
train	rat4	0	0.11999999	-0.35828426	false
train	rat4	0	0.11292893	-0.36535534	false
train	rat4	0	0.10585786	-0.3724264	false
train	rat4	0	0.09878679	-0.37949747	false
train	rat4	0	0.09171572	-0.38656855	false
train	rat4	0	0.09171572	-0.39656854	false
train	rat4	0	0.09171572	-0.40656853	false
train	rat4	0	0.09878679	-0.4136396	false
