x	y	random
0.01	-0.35	true
0.017071066	-0.35707107	true
0.024142135	-0.36414212	true
0.031213202	-0.3712132	true
0.03828427	-0.37828428	true
0.03828427	-0.38828427	true
0.031213202	-0.39535534	true
0.024142133	-0.4024264	true
0.017071065	-0.40949747	true
0.017071065	-0.41949746	true
0.009999996	-0.42656854	true
0.0029289282	-0.4336396	true
0.0029289278	-0.4436396	true
0.0029289275	-0.4536396	true
0.009999995	-0.46071067	true
0.017071063	-0.46778172	true
0.0070710625	-0.46778172	true
-0.002928937	-0.46778172	true
-0.012928937	-0.46778172	true
-0.022928936	-0.46778172	true
-0.032928936	-0.46778172	true
-0.042928938	-0.46778172	true
-0.052928936	-0.46778172	true
-0.06292894	-0.46778172	true
-0.07	-0.46071067	true
-0.07707107	-0.4536396	true
-0.07707107	-0.4436396	true
-0.07707106	-0.4336396	true
-0.07707106	-0.4236396	true
-0.07707106	-0.4136396	true
-0.07707106	-0.40363958	true
-0.084142126	-0.39656854	true
-0.084142126	-0.38656852	true
-0.084142126	-0.37656853	true
-0.077071056	-0.36949745	true
-0.06999999	-0.3624264	true
-0.06292892	-0.35535532	true
-0.055857852	-0.34828424	true
-0.04878678	-0.3412132	true
-0.04878678	-0.3312132	true
-0.04878678	-0.3212132	true
-0.048786778	-0.3112132	true
-0.04171571	-0.30414212	true
-0.04171571	-0.29414213	true
-0.048786778	-0.28707105	true
-0.055857845	-0.28	true
-0.06292891	-0.27292892	true
-0.06999998	-0.26585785	true
-0.079999976	-0.26585785	true
-0.089999974	-0.26585785	true
-0.09999998	-0.26585785	true
-0.10999998	-0.26585785	true
-0.119999975	-0.26585785	true
-0.12707104	-0.25878677	true
-0.13414212	-0.25171572	true
-0.1441421	-0.25171572	true
-0.15121318	-0.25878677	true
-0.15828425	-0.26585785	true
-0.16535531	-0.27292892	true
-0.17242639	-0.27999997	true
-0.18242638	-0.27999997	true
-0.19242638	-0.27999997	true
-0.20242637	-0.27999997	true
