x	y	angle
-0.5	0.5	NA
-0.49	0.49	NA
-0.5	0.48	NA
-0.49	0.47	NA
-0.5	0.45999998	NA
-0.49	0.45	NA
-0.5	0.43999997	NA
-0.49	0.42999998	NA
-0.5	0.41999996	NA
-0.49	0.40999997	NA
-0.5	0.39999995	NA
-0.49	0.38999996	NA
-0.5	0.37999994	NA
-0.49	0.36999995	NA
-0.5	0.35999992	NA
-0.49	0.34999993	NA
-0.5	0.3399999	NA
-0.49	0.32999992	NA
-0.5	0.3199999	NA
-0.49	0.3099999	NA
-0.5	0.2999999	NA
-0.49	0.2899999	NA
-0.5	0.27999988	NA
-0.49	0.2699999	NA
-0.5	0.25999987	NA
-0.49	0.24999987	NA
-0.5	0.23999988	NA
-0.49	0.22999987	NA
-0.5	0.21999988	NA
-0.49	0.20999987	NA
-0.5	0.19999988	NA
-0.49	0.18999988	NA
-0.5	0.17999989	NA
-0.49	0.16999988	NA
-0.5	0.15999989	NA
-0.49	0.14999989	NA
-0.5	0.1399999	NA
-0.49	0.12999989	NA
-0.5	0.1199999	NA
-0.49	0.1099999	NA
-0.5	0.099999905	NA
-0.49	0.08999991	NA
-0.5	0.07999991	NA
-0.49	0.06999991	NA
-0.5	0.05999991	NA
-0.49	0.049999908	NA
-0.5	0.03999991	NA
-0.49	0.02999991	NA
-0.5	0.01999991	NA
-0.49	0.00999991	NA
-0.5	-8.940697E-8	NA
-0.49	-0.010000089	NA
-0.5	-0.020000089	NA
-0.49	-0.030000089	NA
-0.5	-0.04000009	NA
-0.49	-0.050000086	NA
-0.5	-0.060000088	NA
-0.49	-0.07000009	NA
-0.5	-0.08000009	NA
-0.49	-0.090000086	NA
-0.5	-0.10000008	NA
-0.49	-0.11000008	NA
-0.5	-0.12000008	NA
-0.49	-0.13000008	NA
-0.5	-0.14000008	NA
-0.49	-0.15000008	NA
-0.5	-0.16000007	NA
-0.49	-0.17000008	NA
-0.5	-0.18000007	NA
-0.49	-0.19000007	NA
-0.5	-0.20000006	NA
-0.49	-0.21000007	NA
-0.5	-0.22000006	NA
-0.49	-0.23000006	NA
-0.5	-0.24000005	NA
-0.49	-0.25000006	NA
-0.5	-0.26000005	NA
-0.49	-0.27000004	NA
-0.5	-0.28000006	NA
-0.49	-0.29000005	NA
-0.5	-0.30000007	NA
-0.49	-0.31000006	NA
-0.5	-0.32000008	NA
-0.49	-0.33000007	NA
-0.5	-0.3400001	NA
-0.49	-0.35000008	NA
-0.5	-0.3600001	NA
-0.49	-0.3700001	NA
-0.5	-0.3800001	NA
-0.49	-0.3900001	NA
-0.5	-0.40000013	NA
-0.49	-0.41000012	NA
-0.5	-0.42000014	NA
-0.49	-0.43000013	NA
-0.5	-0.44000015	NA
-0.49	-0.45000014	NA
-0.5	-0.46000016	NA
-0.49	-0.47000015	NA
-0.5	-0.48000017	NA
-0.49	-0.49000016	NA
-0.48	0.5	NA
-0.47	0.49	NA
-0.48	0.48	NA
-0.47	0.47	NA
-0.48	0.45999998	NA
-0.47	0.45	NA
-0.48	0.43999997	NA
-0.47	0.42999998	NA
-0.48	0.41999996	NA
-0.47	0.40999997	NA
-0.48	0.39999995	NA
-0.47	0.38999996	NA
-0.48	0.37999994	NA
-0.47	0.36999995	NA
-0.48	0.35999992	NA
-0.47	0.34999993	NA
-0.48	0.3399999	NA
-0.47	0.32999992	NA
-0.48	0.3199999	NA
-0.47	0.3099999	NA
-0.48	0.2999999	NA
-0.47	0.2899999	NA
-0.48	0.27999988	NA
-0.47	0.2699999	NA
-0.48	0.25999987	NA
-0.47	0.24999987	NA
-0.48	0.23999988	NA
-0.47	0.22999987	NA
-0.48	0.21999988	NA
-0.47	0.20999987	NA
-0.48	0.19999988	NA
-0.47	0.18999988	NA
-0.48	0.17999989	NA
-0.47	0.16999988	NA
