trial	group	subject	repetition	x	y	random
training	oneLayer	oneLayer - rat 1	0	0.009715462	-0.34597573	false
training	oneLayer	oneLayer - rat 1	0	0.019748868	-0.34181973	false
training	oneLayer	oneLayer - rat 1	0	0.02983187	-0.33764324	false
training	oneLayer	oneLayer - rat 1	0	0.039598353	-0.3335978	false
training	oneLayer	oneLayer - rat 1	0	0.049567085	-0.32946864	false
training	oneLayer	oneLayer - rat 1	0	0.059221655	-0.32546958	false
training	oneLayer	oneLayer - rat 1	0	0.06912471	-0.3213676	false
training	oneLayer	oneLayer - rat 1	0	0.078748085	-0.31738147	false
training	oneLayer	oneLayer - rat 1	0	0.08862294	-0.31329116	false
training	oneLayer	oneLayer - rat 1	0	0.098491654	-0.30920342	false
training	oneLayer	oneLayer - rat 1	0	0.10828356	-0.30514747	false
training	oneLayer	oneLayer - rat 1	0	0.117908694	-0.3011606	false
training	oneLayer	oneLayer - rat 1	0	0.12750645	-0.2971851	false
training	oneLayer	oneLayer - rat 1	0	0.13719508	-0.29317194	false
training	oneLayer	oneLayer - rat 1	0	0.14694488	-0.28913343	false
training	oneLayer	oneLayer - rat 1	0	0.15699854	-0.28496906	false
training	oneLayer	oneLayer - rat 1	0	0.16656163	-0.28100792	false
training	oneLayer	oneLayer - rat 1	0	0.17637655	-0.27694243	false
training	oneLayer	oneLayer - rat 1	0	0.1840042	-0.2693148	false
training	oneLayer	oneLayer - rat 1	0	0.1912124	-0.2621066	false
training	oneLayer	oneLayer - rat 1	0	0.19869871	-0.25462025	false
training	oneLayer	oneLayer - rat 1	0	0.20589161	-0.24742737	false
training	oneLayer	oneLayer - rat 1	0	0.21356633	-0.23975265	false
training	oneLayer	oneLayer - rat 1	0	0.2209371	-0.23238188	false
training	oneLayer	oneLayer - rat 1	0	0.22826083	-0.22505815	false
training	oneLayer	oneLayer - rat 1	0	0.23564184	-0.21767715	false
training	oneLayer	oneLayer - rat 1	0	0.24320015	-0.21011883	false
training	oneLayer	oneLayer - rat 1	0	0.25072533	-0.20259364	false
training	oneLayer	oneLayer - rat 1	0	0.25784686	-0.19547212	false
training	oneLayer	oneLayer - rat 1	0	0.26516008	-0.1881589	false
training	oneLayer	oneLayer - rat 1	0	0.2729331	-0.18038587	false
training	oneLayer	oneLayer - rat 1	0	0.28029776	-0.17302121	false
training	oneLayer	oneLayer - rat 1	0	0.28740963	-0.16590934	false
training	oneLayer	oneLayer - rat 1	0	0.29518145	-0.15813752	false
training	oneLayer	oneLayer - rat 1	0	0.30249485	-0.15082413	false
training	oneLayer	oneLayer - rat 1	0	0.30992478	-0.14339419	false
training	oneLayer	oneLayer - rat 1	0	0.31721303	-0.13610597	false
training	oneLayer	oneLayer - rat 1	0	0.3245668	-0.12875217	false
training	oneLayer	oneLayer - rat 1	0	0.3319057	-0.12141328	false
training	oneLayer	oneLayer - rat 1	0	0.33900136	-0.11431761	false
training	oneLayer	oneLayer - rat 1	0	0.3460881	-0.107230864	false
training	oneLayer	oneLayer - rat 1	0	0.35321224	-0.10010674	false
training	oneLayer	oneLayer - rat 1	0	0.3605738	-0.09274517	false
training	oneLayer	oneLayer - rat 1	0	0.36764696	-0.085672006	false
