trial	group	subject	repetition	x	y	random
training	oneLayer	oneLayer - rat 1	0	0.009974625	-0.34586838	false
training	oneLayer	oneLayer - rat 1	0	0.01734687	-0.33849612	false
training	oneLayer	oneLayer - rat 1	0	0.021436265	-0.32862344	false
training	oneLayer	oneLayer - rat 1	0	0.021436265	-0.31825882	false
training	oneLayer	oneLayer - rat 1	0	0.017250504	-0.3081535	false
training	oneLayer	oneLayer - rat 1	0	0.013369023	-0.29878277	false
training	oneLayer	oneLayer - rat 1	0	0.009227436	-0.28878412	false
training	oneLayer	oneLayer - rat 1	0	0.005290384	-0.27927923	false
training	oneLayer	oneLayer - rat 1	0	0.001414729	-0.26992255	false
training	oneLayer	oneLayer - rat 1	0	-0.0026882137	-0.2600172	false
training	oneLayer	oneLayer - rat 1	0	-0.0068638744	-0.24993625	false
training	oneLayer	oneLayer - rat 1	0	-0.0107322065	-0.24059728	false
training	oneLayer	oneLayer - rat 1	0	-0.0148858195	-0.23056957	false
training	oneLayer	oneLayer - rat 1	0	-0.018940438	-0.22078085	false
training	oneLayer	oneLayer - rat 1	0	-0.022917857	-0.21117851	false
training	oneLayer	oneLayer - rat 1	0	-0.027072366	-0.20114864	false
training	oneLayer	oneLayer - rat 1	0	-0.031056557	-0.19152996	false
training	oneLayer	oneLayer - rat 1	0	-0.034979075	-0.18206017	false
training	oneLayer	oneLayer - rat 1	0	-0.038878847	-0.17264529	false
training	oneLayer	oneLayer - rat 1	0	-0.042857327	-0.16304038	false
training	oneLayer	oneLayer - rat 1	0	-0.046877693	-0.15333436	false
training	oneLayer	oneLayer - rat 1	0	-0.05073953	-0.14401107	false
training	oneLayer	oneLayer - rat 1	0	-0.054568663	-0.13476671	false
training	oneLayer	oneLayer - rat 1	0	-0.058649734	-0.12491415	false
training	oneLayer	oneLayer - rat 1	0	-0.062754534	-0.11500428	false
training	oneLayer	oneLayer - rat 1	0	-0.06687152	-0.10506502	false
training	oneLayer	oneLayer - rat 1	0	-0.07077958	-0.09563013	false
training	oneLayer	oneLayer - rat 1	0	-0.074651994	-0.086281285	false
training	oneLayer	oneLayer - rat 1	0	-0.078810535	-0.07624168	false
training	oneLayer	oneLayer - rat 1	0	-0.08277902	-0.06666091	false
training	oneLayer	oneLayer - rat 1	0	-0.086722665	-0.057140112	false
training	oneLayer	oneLayer - rat 1	0	-0.09059919	-0.047781352	false
training	oneLayer	oneLayer - rat 1	0	-0.09478932	-0.03766548	false
training	oneLayer	oneLayer - rat 1	0	-0.098745376	-0.028114723	false
training	oneLayer	oneLayer - rat 1	0	-0.10277326	-0.01839056	false
training	oneLayer	oneLayer - rat 1	0	-0.10664157	-0.009051631	false
training	oneLayer	oneLayer - rat 1	0	-0.11060581	5.189089E-4	false
training	oneLayer	oneLayer - rat 1	0	-0.114641555	0.010262049	false
training	oneLayer	oneLayer - rat 1	0	-0.11862134	0.019870097	false
training	oneLayer	oneLayer - rat 1	0	-0.12272201	0.029769976	false
training	oneLayer	oneLayer - rat 1	0	-0.12671225	0.039403282	false
training	oneLayer	oneLayer - rat 1	0	-0.13084686	0.049385108	false
training	oneLayer	oneLayer - rat 1	0	-0.1347904	0.05890565	false
training	oneLayer	oneLayer - rat 1	0	-0.13877118	0.0685161	false
training	oneLayer	oneLayer - rat 1	0	-0.14281179	0.07827101	false
training	oneLayer	oneLayer - rat 1	0	-0.14666274	0.08756801	false
training	oneLayer	oneLayer - rat 1	0	-0.15071659	0.09735487	false
training	oneLayer	oneLayer - rat 1	0	-0.15483414	0.107295506	false
training	oneLayer	oneLayer - rat 1	0	-0.15875675	0.116765514	false
training	oneLayer	oneLayer - rat 1	0	-0.16273476	0.12636928	false
training	oneLayer	oneLayer - rat 1	0	-0.16691446	0.13645999	false
training	oneLayer	oneLayer - rat 1	0	-0.17111251	0.14659496	false
training	oneLayer	oneLayer - rat 1	0	-0.17500648	0.15599585	false
training	oneLayer	oneLayer - rat 1	0	-0.17894973	0.1655157	false
training	oneLayer	oneLayer - rat 1	0	-0.18310663	0.17555134	false
training	oneLayer	oneLayer - rat 1	0	-0.18722947	0.18550475	false
training	oneLayer	oneLayer - rat 1	0	-0.1913915	0.19555278	false
training	oneLayer	oneLayer - rat 1	0	-0.19909786	0.20325914	false
training	oneLayer	oneLayer - rat 1	0	-0.20626189	0.21042317	false
training	oneLayer	oneLayer - rat 1	0	-0.21400674	0.21816802	false
training	oneLayer	oneLayer - rat 1	0	-0.22167476	0.22583604	false
training	oneLayer	oneLayer - rat 1	0	-0.22900267	0.23316394	false
training	oneLayer	oneLayer - rat 1	0	-0.23670459	0.24086587	false
training	oneLayer	oneLayer - rat 1	0	-0.24447528	0.24863654	false
training	oneLayer	oneLayer - rat 1	0	-0.2516212	0.25578246	false
training	oneLayer	oneLayer - rat 1	0	-0.2588414	0.26300266	false
training	oneLayer	oneLayer - rat 1	0	-0.2664657	0.27062696	false
training	oneLayer	oneLayer - rat 1	0	-0.27410558	0.27826685	false
training	oneLayer	oneLayer - rat 1	0	-0.28147468	0.28563595	false
