x	y
0.01	-0.35
0.02	-0.35
0.03	-0.35
0.04	-0.35
0.049999997	-0.35
0.06	-0.35
0.07	-0.35
0.08	-0.35
0.08707107	-0.34292892
0.09414213	-0.33585787
0.1012132	-0.3287868
0.108284265	-0.3217157
0.115355335	-0.31464466
0.122426406	-0.3075736
0.12949747	-0.3005025
0.13656853	-0.29343146
0.14363961	-0.28636038
0.15071067	-0.2792893
0.15778174	-0.27221826
0.15778174	-0.26221824
0.15778174	-0.25221825
0.15778174	-0.24221826
0.15778174	-0.23221825
0.16485281	-0.22514719
0.17192388	-0.21807611
0.17899494	-0.21100505
0.17899494	-0.20100504
0.17899494	-0.19100505
0.17899494	-0.18100505
0.17899494	-0.17100504
0.17899494	-0.16100505
0.17899494	-0.15100504
0.17899494	-0.14100505
0.17899494	-0.13100505
0.17899494	-0.12100505
0.186066	-0.11393398
0.186066	-0.10393398
0.186066	-0.09393398
0.186066	-0.08393398
0.186066	-0.07393398
0.186066	-0.06393398
0.186066	-0.05393398
0.186066	-0.04393398
0.186066	-0.033933982
0.186066	-0.023933982
0.186066	-0.013933982
0.186066	-0.0039339825
0.186066	0.0060660173
0.186066	0.016066017
0.17899492	0.023137085
0.16899493	0.023137083
0.15899493	0.023137083
0.14899494	0.023137081
0.13899493	0.023137081
0.12899493	0.02313708
0.121923864	0.016066011
0.111923866	0.016066011
0.104852796	0.0089949425
0.1048528	-0.0010050574
0.09778173	-0.008076126
0.09071067	-0.015147194
0.0836396	-0.022218263
0.0736396	-0.022218263
0.0636396	-0.022218265
0.053639602	-0.022218265
0.0436396	-0.022218267
0.033639602	-0.022218267
0.0236396	-0.022218268
0.016568534	-0.029289337
0.0065685343	-0.029289337
-5.02534E-4	-0.02221827
-0.0075736023	-0.015147203
-0.017573602	-0.015147204
-0.027573602	-0.0151472045
-0.037573602	-0.015147205
-0.04464467	-0.008076138
-0.05171574	-0.0010050711
-0.058786806	0.006065996
-0.06585787	0.013137063
-0.07292894	0.02020813
-0.08000001	0.027279198
-0.07292894	0.034350265
-0.07292894	0.044350266
-0.07292894	0.054350264
-0.07292894	0.06435026
-0.07292894	0.07435027
-0.07292894	0.084350266
-0.07292894	0.09435026
-0.07292894	0.10435026
-0.08000001	0.11142133
-0.08707108	0.118492395
-0.09414215	0.12556347
-0.10121322	0.13263454
-0.10121322	0.14263453
-0.10121322	0.15263453
-0.10121322	0.16263454
-0.10121322	0.17263453
-0.094142154	0.1797056
-0.08707108	0.18677667
-0.08000002	0.19384773
-0.07292895	0.20091881
-0.07292895	0.2109188
-0.07292895	0.2209188
-0.08000002	0.22798987
-0.08707108	0.23506093
-0.09707109	0.23506093
-0.10414215	0.22798987
-0.11121322	0.2209188
-0.11121322	0.2109188
-0.10414215	0.20384774
-0.09707108	0.19677667
-0.09000001	0.1897056
-0.08292894	0.18263453
-0.08292894	0.17263453
-0.09000001	0.16556346
-0.10000001	0.16556346
-0.11000001	0.16556346
-0.12000001	0.16556346
-0.12707108	0.1584924
-0.13414215	0.15142132
-0.14121321	0.14435026
-0.14828427	0.13727918
-0.15535535	0.13020812
-0.16242641	0.12313705
-0.16949748	0.11606599
-0.17656854	0.108994916
-0.18363962	0.101923846
-0.19071068	0.094852775
-0.19778174	0.08778171
-0.2048528	0.08071064
-0.21192388	0.07363957
-0.21899495	0.0665685
-0.22606601	0.059497435
-0.23313709	0.052426368
-0.24020815	0.045355298
-0.25020814	0.045355298
-0.26020816	0.045355298
-0.27020815	0.045355298
-0.27727923	0.052426364
-0.28435028	0.05949743
-0.29142135	0.0665685
-0.2984924	0.05949743
-0.30556348	0.05242636
-0.30556348	0.042426363
-0.31263456	0.035355292
-0.3197056	0.028284224
-0.32677668	0.021213155
-0.32677668	0.011213156
