x	y
0.01	-0.35
0.02	-0.35
0.03	-0.35
0.04	-0.35
0.049999997	-0.35
0.06	-0.35
0.07	-0.35
0.08	-0.35
0.089999996	-0.35
0.09707107	-0.34292892
0.10414213	-0.33585787
0.1112132	-0.3287868
0.11828427	-0.3217157
0.12828426	-0.3217157
0.13828427	-0.3217157
0.14828427	-0.3217157
0.15828426	-0.3217157
0.16535534	-0.31464466
0.1724264	-0.3075736
0.17949747	-0.3005025
0.17949747	-0.29050252
0.17949747	-0.28050253
0.17949747	-0.2705025
0.17949747	-0.26050252
0.17949747	-0.25050253
0.18656853	-0.24343145
0.1936396	-0.23636039
0.2036396	-0.23636039
0.21071067	-0.22928932
0.21778174	-0.22221825
0.22778174	-0.22221825
0.2348528	-0.21514718
0.2348528	-0.20514718
0.2348528	-0.19514719
0.2348528	-0.18514718
0.2348528	-0.17514718
0.2348528	-0.16514719
0.2348528	-0.15514718
0.2348528	-0.14514719
0.2348528	-0.13514718
0.2348528	-0.12514718
0.22778173	-0.118076116
0.22071066	-0.111005045
0.2136396	-0.10393398
0.20656852	-0.09686291
0.19949746	-0.08979185
0.19949746	-0.07979185
0.19949746	-0.069791846
0.19949746	-0.059791848
0.19949746	-0.04979185
0.19949746	-0.03979185
0.19242638	-0.032720782
0.18535532	-0.025649713
0.18535532	-0.015649714
0.18535532	-0.0056497147
0.18535532	0.004350285
0.19242638	0.011421353
0.19949746	0.018492421
0.19949746	0.02849242
0.19949746	0.03849242
0.19949746	0.04849242
0.19949745	0.05849242
0.19949745	0.06849242
0.20656852	0.07556349
0.21363959	0.08263455
0.21363959	0.09263456
0.21363959	0.10263456
0.21363959	0.112634555
0.21363959	0.12263455
0.22071065	0.12970562
0.22778173	0.13677669
0.23778172	0.13677669
0.24778172	0.13677669
0.2577817	0.13677669
0.2577817	0.14677669
0.2577817	0.1567767
0.2577817	0.16677669
0.2577817	0.17677669
0.2577817	0.18677668
0.2577817	0.19677669
0.2577817	0.2067767
0.25071064	0.21384776
0.24363959	0.22091882
0.23656851	0.2279899
0.22656852	0.22798988
0.21949744	0.23506096
0.21242638	0.24213202
0.20535532	0.24920309
0.19828424	0.25627416
0.19121318	0.2633452
0.1841421	0.2704163
0.17707103	0.27748737
0.16999997	0.28455842
0.15999997	0.28455842
0.14999998	0.28455842
0.1429289	0.2916295
0.13585784	0.29870057
0.12878676	0.30577162
0.121715695	0.3128427
0.11464463	0.31991377
0.10757356	0.32698482
0.09757356	0.32698482
0.08757356	0.32698482
0.07757356	0.32698482
0.07050249	0.3340559
0.060502492	0.3340559
0.050502494	0.3340559
0.040502492	0.3340559
0.050502494	0.3340559
0.060502492	0.3340559
0.050502494	0.3340559
0.040502492	0.3340559
0.030502494	0.3340559
0.020502495	0.3340559
0.010502494	0.33405587
5.0249434E-4	0.33405587
0.010502494	0.33405587
0.020502495	0.33405587
0.010502494	0.33405587
0.0034314273	0.32698482
-0.0036396396	0.31991374
-0.010710707	0.31284267
-0.017781774	0.30577162
-0.02485284	0.29870054
-0.03192391	0.29162946
-0.041923907	0.29162946
-0.048994973	0.29870054
-0.041923907	0.30577162
-0.03485284	0.31284267
-0.027781773	0.31991374
-0.020710705	0.32698482
-0.010710705	0.32698482
-7.107055E-4	0.32698482
0.0092892945	0.32698482
0.019289294	0.32698482
0.029289294	0.32698482
0.039289292	0.32698482
0.049289294	0.32698482
0.05928929	0.32698482
0.06636036	0.31991374
0.06636036	0.30991375
0.05928929	0.30284268
0.052218225	0.2957716
0.045147154	0.28870055
0.038076088	0.28162947
0.03100502	0.2745584
0.02393395	0.26748735
0.016862884	0.26041627
0.0068628835	0.26041627
-0.003137116	0.26041627
-0.013137116	0.26041627
-0.020208184	0.25334522
-0.030208183	0.25334522
-0.037279252	0.26041627
-0.03727925	0.2704163
-0.030208182	0.27748734
-0.03727925	0.28455842
-0.044350315	0.2916295
-0.05142138	0.29870054
-0.06142138	0.29870054
-0.06849245	0.2916295
-0.07556352	0.28455842
-0.08263458	0.27748734
-0.08970565	0.2704163
-0.08970565	0.26041627
-0.08263458	0.25334522
-0.07556352	0.24627414
-0.06849245	0.23920308
-0.061421383	0.23213202
-0.054350317	0.22506094
-0.054350317	0.21506095
-0.054350317	0.20506094
-0.04727925	0.19798988
-0.040208183	0.1909188
-0.033137117	0.18384774
-0.026066048	0.17677668
-0.01899498	0.1697056
-0.011923912	0.16263454
-0.004852845	0.15556347
-0.0048528453	0.14556347
-0.004852846	0.13556346
-0.0048528463	0.12556347
-0.0048528467	0.11556347
0.0022182208	0.108492404
0.009289288	0.101421334
0.016360356	0.09435026
0.023431424	0.0872792
0.03050249	0.08020813
0.037573557	0.07313706
0.044644624	0.066066
0.044644624	0.056065995
0.037573557	0.04899493
0.027573558	0.04899493
0.020502489	0.041923862
0.010502489	0.041923862
5.0248986E-4	0.041923862
-0.006568577	0.048994932
-0.013639644	0.056066
-0.02071071	0.06313707
-0.027781777	0.07020814
-0.034852844	0.0772792
-0.04192391	0.08435027
-0.051923912	0.08435027
-0.06192391	0.08435027
-0.06899498	0.09142134
-0.07606605	0.098492414
-0.08313711	0.105563484
-0.09020818	0.11263455
-0.09020818	0.12263455
-0.09020817	0.13263455
-0.09020817	0.14263456
-0.09020817	0.15263455
-0.09020817	0.16263455
-0.09020817	0.17263454
-0.0831371	0.17970562
-0.07606603	0.18677668
-0.066066034	0.18677668
-0.058994967	0.1797056
-0.0519239	0.17263454
-0.041923903	0.17263454
-0.0319239	0.17263454
-0.021923902	0.17263454
-0.011923902	0.17263453
