x	y
0.01	-0.35
0.02	-0.35
0.027071066	-0.34292892
0.034142133	-0.33585787
0.041213203	-0.3287868
0.04828427	-0.3217157
0.055355337	-0.31464466
0.06535534	-0.31464466
0.075355336	-0.31464466
0.085355334	-0.31464466
0.092426404	-0.3217157
0.1024264	-0.3217157
0.10949747	-0.3287868
0.11949747	-0.3287868
0.1124264	-0.33585787
0.10535534	-0.34292892
0.09535533	-0.34292892
0.085355334	-0.34292892
0.075355336	-0.34292892
0.068284266	-0.35
0.0612132	-0.35707104
0.054142132	-0.36414212
0.06414213	-0.36414212
0.07414213	-0.36414212
0.0812132	-0.35707104
0.08828427	-0.35
0.09828427	-0.35
0.108284265	-0.35
0.115355335	-0.34292892
0.1224264	-0.33585784
0.12949747	-0.3287868
0.13656853	-0.3217157
0.14363961	-0.31464463
0.14363961	-0.30464464
0.15071067	-0.2975736
0.15071067	-0.28757358
0.15071067	-0.2775736
0.1436396	-0.2705025
0.13656853	-0.26343146
0.12949747	-0.25636038
0.1224264	-0.24928932
0.11535533	-0.24221824
0.11535533	-0.23221825
0.10828426	-0.22514717
0.101213194	-0.21807611
0.09121319	-0.21807611
0.084142126	-0.22514719
0.084142126	-0.23514718
0.084142126	-0.24514718
0.0912132	-0.25221825
0.09828427	-0.25928932
0.10535534	-0.26636037
0.1124264	-0.27343145
0.11949747	-0.28050253
0.12656854	-0.28757358
0.1336396	-0.29464465
0.14363961	-0.29464465
0.15363961	-0.29464465
0.1636396	-0.29464465
0.17363961	-0.29464465
0.1836396	-0.29464462
0.1936396	-0.29464462
0.20363961	-0.29464462
0.2136396	-0.29464462
0.22071068	-0.28757358
0.22778174	-0.2805025
0.2348528	-0.27343142
0.2348528	-0.26343143
0.2348528	-0.25343144
0.24192387	-0.24636036
0.24899493	-0.23928928
0.256066	-0.23221822
0.26313707	-0.22514714
0.27020812	-0.21807608
0.28020814	-0.21807608
0.28020814	-0.20807607
0.28020814	-0.19807608
0.28020814	-0.18807608
0.27313706	-0.18100502
0.27313706	-0.17100501
0.27313706	-0.16100502
0.27313706	-0.15100501
0.26606598	-0.14393395
0.2589949	-0.13686289
0.25192383	-0.12979181
0.24485277	-0.12272075
0.2377817	-0.115649685
0.23071064	-0.10857862
0.22363956	-0.10150755
0.21363956	-0.10150755
0.20363957	-0.10150756
0.19363956	-0.10150756
0.1865685	-0.0944365
0.1765685	-0.0944365
0.16949743	-0.08736543
0.16242635	-0.08029436
0.16242635	-0.070294365
0.16949742	-0.063223295
0.16949742	-0.053223297
0.16949742	-0.043223295
0.17656848	-0.03615223
0.18363956	-0.029081158
0.19363955	-0.029081156
0.20071062	-0.036152225
0.20778169	-0.04322329
0.2177817	-0.043223288
0.22778168	-0.043223288
0.23778169	-0.043223284
0.24778168	-0.043223284
0.25778168	-0.04322328
0.26485276	-0.036152214
0.26485276	-0.026152212
0.25778168	-0.019081147
0.24778168	-0.01908115
0.24071062	-0.02615222
0.23363955	-0.03322329
0.22656849	-0.04029436
0.21656848	-0.04029436
0.20656848	-0.040294364
0.19656849	-0.040294368
0.18656848	-0.040294368
0.17656848	-0.04029437
0.16656849	-0.040294375
0.15656848	-0.040294375
0.14949742	-0.033223312
0.13949741	-0.033223312
0.12949741	-0.033223316
0.11949742	-0.03322332
0.10949741	-0.03322332
0.099497415	-0.033223324
0.08949742	-0.033223327
0.07949742	-0.03322333
0.069497414	-0.03322333
0.059497416	-0.033223335
0.049497418	-0.03322334
0.039497416	-0.03322334
0.029497419	-0.033223342
0.019497419	-0.033223346
0.009497419	-0.033223346
0.0024263533	-0.040294416
-0.0046447124	-0.047365487
-0.011715778	-0.054436557
-0.018786844	-0.061507627
-0.025857909	-0.0685787
-0.032928973	-0.07564977
-0.04000004	-0.08272084
