trial	group	subject	repetition	x	y	angle	layer	intention
training	g1	r4	0	-0.5	0.5	NA	0	0
training	g1	r4	0	-0.45	0.45	NA	0	0
training	g1	r4	0	-0.5	0.4	NA	0	0
training	g1	r4	0	-0.45	0.35	NA	0	0
training	g1	r4	0	-0.5	0.3	NA	0	0
training	g1	r4	0	-0.45	0.25	NA	0	0
training	g1	r4	0	-0.5	0.20000002	NA	0	0
training	g1	r4	0	-0.45	0.15000002	NA	0	0
training	g1	r4	0	-0.5	0.10000002	NA	0	0
training	g1	r4	0	-0.45	0.050000016	NA	0	0
training	g1	r4	0	-0.5	1.4901161E-8	NA	0	0
training	g1	r4	0	-0.45	-0.049999986	NA	0	0
training	g1	r4	0	-0.5	-0.09999999	NA	0	0
training	g1	r4	0	-0.45	-0.14999999	NA	0	0
training	g1	r4	0	-0.5	-0.19999999	NA	0	0
training	g1	r4	0	-0.45	-0.24999999	NA	0	0
training	g1	r4	0	-0.5	-0.29999998	NA	0	0
training	g1	r4	0	-0.45	-0.35	NA	0	0
training	g1	r4	0	-0.5	-0.39999998	NA	0	0
training	g1	r4	0	-0.45	-0.45	NA	0	0
training	g1	r4	0	-0.5	-0.49999997	NA	0	0
training	g1	r4	0	-0.45	-0.54999995	NA	0	0
training	g1	r4	0	-0.4	0.5	NA	0	0
training	g1	r4	0	-0.35	0.45	NA	0	0
training	g1	r4	0	-0.4	0.4	NA	0	0
training	g1	r4	0	-0.35	0.35	NA	0	0
training	g1	r4	0	-0.4	0.3	NA	0	0
training	g1	r4	0	-0.35	0.25	NA	0	0
training	g1	r4	0	-0.4	0.20000002	NA	0	0
training	g1	r4	0	-0.35	0.15000002	NA	0	0
training	g1	r4	0	-0.4	0.10000002	NA	0	0
training	g1	r4	0	-0.35	0.050000016	NA	0	0
training	g1	r4	0	-0.4	1.4901161E-8	NA	0	0
training	g1	r4	0	-0.35	-0.049999986	NA	0	0
training	g1	r4	0	-0.4	-0.09999999	NA	0	0
training	g1	r4	0	-0.35	-0.14999999	NA	0	0
training	g1	r4	0	-0.4	-0.19999999	NA	0	0
training	g1	r4	0	-0.35	-0.24999999	NA	0	0
training	g1	r4	0	-0.4	-0.29999998	NA	0	0
training	g1	r4	0	-0.35	-0.35	NA	0	0
training	g1	r4	0	-0.4	-0.39999998	NA	0	0
training	g1	r4	0	-0.35	-0.45	NA	0	0
training	g1	r4	0	-0.4	-0.49999997	NA	0	0
training	g1	r4	0	-0.35	-0.54999995	NA	0	0
training	g1	r4	0	-0.3	0.5	NA	0	0
training	g1	r4	0	-0.25	0.45	NA	0	0
training	g1	r4	0	-0.3	0.4	NA	0	0
training	g1	r4	0	-0.25	0.35	NA	0	0
training	g1	r4	0	-0.3	0.3	NA	0	0
training	g1	r4	0	-0.25	0.25	NA	0	0
training	g1	r4	0	-0.3	0.20000002	NA	0	0
training	g1	r4	0	-0.25	0.15000002	NA	0	0
training	g1	r4	0	-0.3	0.10000002	NA	0	0
training	g1	r4	0	-0.25	0.050000016	NA	0	0
training	g1	r4	0	-0.3	1.4901161E-8	NA	0	0
training	g1	r4	0	-0.25	-0.049999986	NA	0	0
training	g1	r4	0	-0.3	-0.09999999	NA	0	0
training	g1	r4	0	-0.25	-0.14999999	NA	0	0
training	g1	r4	0	-0.3	-0.19999999	NA	0	0
training	g1	r4	0	-0.25	-0.24999999	NA	0	0
training	g1	r4	0	-0.3	-0.29999998	NA	0	0
training	g1	r4	0	-0.25	-0.35	NA	0	0
training	g1	r4	0	-0.3	-0.39999998	NA	0	0
training	g1	r4	0	-0.25	-0.45	NA	0	0
training	g1	r4	0	-0.3	-0.49999997	NA	0	0
training	g1	r4	0	-0.25	-0.54999995	NA	0	0
