x	y
0.0070710676	-0.35707107
0.014142135	-0.36414212
0.024142135	-0.36414212
0.031213202	-0.35707107
0.031213202	-0.34707105
0.031213202	-0.33707106
0.031213202	-0.32707107
0.03828427	-0.32
0.045355335	-0.31292892
0.052426405	-0.30585787
0.059497472	-0.2987868
0.06656854	-0.2917157
0.07363961	-0.28464466
0.08071067	-0.2775736
0.08778174	-0.2705025
0.094852805	-0.26343146
0.101923876	-0.25636038
0.101923876	-0.24636039
0.101923876	-0.23636039
0.101923876	-0.22636038
0.101923876	-0.21636039
0.094852805	-0.20928931
0.094852805	-0.19928932
0.101923876	-0.19221824
0.10899494	-0.18514718
0.11606601	-0.17807612
0.12313708	-0.17100504
0.12313707	-0.16100505
0.13020815	-0.15393397
0.13727921	-0.14686291
0.13727921	-0.13686292
0.13727921	-0.12686291
0.13727921	-0.116862915
0.13020813	-0.109791845
0.12313707	-0.102720775
0.116066	-0.09564971
0.116066	-0.085649714
0.116066	-0.07564971
0.12313707	-0.068578646
0.13020813	-0.061507575
0.14020814	-0.061507575
0.1472792	-0.05443651
0.15435028	-0.04736544
0.15435027	-0.03736544
0.1472792	-0.030294374
0.14020814	-0.023223305
0.14020814	-0.013223306
0.13313706	-0.0061522387
0.13313706	0.0038477608
0.13313706	0.013847761
0.13313706	0.02384776
0.13313706	0.03384776
0.13313706	0.04384776
0.13313706	0.05384776
0.13313706	0.06384776
0.13313706	0.073847756
0.13313706	0.08384776
0.13313706	0.09384776
0.13313706	0.10384776
0.13313706	0.113847755
0.13313706	0.12384776
0.14020813	0.13091883
0.14020813	0.14091882
0.14020813	0.15091883
0.14020813	0.16091883
0.1472792	0.1679899
0.15435027	0.17506096
0.16142133	0.18213204
0.16849239	0.1892031
0.17556347	0.19627416
0.18263453	0.20334524
0.1897056	0.2104163
0.19677667	0.21748737
0.20384774	0.22455844
0.2109188	0.2316295
0.21798988	0.23870057
0.22506094	0.24577163
0.23506095	0.24577163
0.24213201	0.23870057
0.252132	0.23870057
0.252132	0.24870057
0.252132	0.25870058
0.252132	0.26870057
0.24506094	0.27577165
0.23798987	0.2828427
0.22798987	0.2828427
0.21798986	0.2828427
0.20798987	0.2828427
0.19798987	0.2828427
0.18798988	0.2828427
0.1809188	0.28991377
0.17384773	0.29698482
0.17384773	0.30698484
0.16677666	0.3140559
0.1597056	0.32112697
0.15263453	0.32819805
0.14556345	0.3352691
0.13849239	0.34234017
0.13142133	0.34941125
0.12435026	0.3564823
0.11727919	0.36355338
0.11020812	0.37062445
0.10313705	0.3776955
0.11313705	0.3776955
0.12313705	0.3776955
0.13313705	0.3776955
0.14313705	0.3776955
0.13606599	0.38476658
0.12606598	0.38476658
0.11606599	0.38476658
0.10606598	0.38476658
0.09606598	0.38476658
0.08899491	0.3776955
0.08192385	0.37062442
0.07485278	0.36355338
0.06778172	0.3564823
0.06071065	0.34941122
0.053639583	0.34234017
0.053639583	0.33234015
0.053639583	0.32234016
0.053639587	0.31234017
0.060710654	0.3052691
0.067781724	0.298198
0.074852794	0.29112697
0.08485279	0.29112697
0.091923855	0.29819804
0.098994926	0.3052691
0.098994926	0.3152691
0.09899492	0.3252691
0.09192385	0.33234018
0.08192385	0.33234015
0.07192385	0.33234015
0.06192385	0.33234015
0.051923852	0.33234015
0.04192385	0.33234015
0.034852788	0.32526907
0.034852788	0.31526908
0.04192386	0.308198
0.04899493	0.30112696
0.05899493	0.30112696
0.066066	0.30819803
0.076065995	0.30819803
0.08313706	0.3152691
0.09020812	0.32234016
0.09727919	0.32941124
0.09020812	0.33648232
0.09727918	0.34355336
0.10727918	0.3435534
0.11727918	0.3435534
0.12727918	0.3435534
0.13435026	0.33648232
0.14435025	0.33648232
0.15435025	0.33648232
0.16435026	0.33648235
0.17435025	0.33648235
0.18142132	0.32941127
0.19142132	0.32941127
0.1984924	0.32234022
0.2084924	0.32234022
0.21849239	0.32234022
0.21142133	0.32941127
0.20435025	0.33648235
0.19727919	0.34355342
0.1902081	0.35062447
0.1802081	0.35062447
0.17020811	0.35062447
0.1602081	0.35062447
0.15020812	0.35062444
0.14313704	0.3435534
0.14313705	0.33355337
0.15020812	0.32648233
0.1572792	0.31941125
0.16435026	0.3123402
0.17142133	0.30526912
0.18142134	0.30526912
0.19142133	0.30526915
0.20142134	0.30526915
0.21142134	0.30526915
0.20435026	0.3123402
0.19727919	0.31941128
0.19020812	0.32648233
0.18313704	0.3335534
0.17606598	0.34062448
0.1689949	0.34769553
0.16192383	0.3547666
0.15192384	0.35476658
0.14192383	0.35476658
0.13192382	0.35476658
0.121923834	0.35476658
0.11192383	0.35476658
0.104852766	0.3476955
0.0977817	0.34062442
0.09071064	0.33355334
0.08363958	0.32648227
0.076568514	0.31941122
0.06949745	0.31234014
0.059497453	0.3123401
0.05242639	0.30526906
0.045355327	0.29819798
0.038284265	0.2911269
0.031213202	0.28405583
0.021213202	0.28405583
0.01414213	0.2911269
0.0070710573	0.29819795
0.0070710517	0.30819795
0.014142116	0.31526902
0.02121318	0.3223401
0.03121318	0.3223401
0.03828425	0.31526905
0.04535532	0.30819798
0.05535532	0.30819798
0.062426392	0.30112693
0.069497466	0.29405585
0.079497464	0.29405585
0.08656853	0.30112693
0.09363959	0.308198
0.10071065	0.31526908
0.107781716	0.32234013
0.107781716	0.33234015
0.11778171	0.33234015
0.12778172	0.33234015
0.13778171	0.33234015
0.14778171	0.33234018
0.1577817	0.33234018
0.16778171	0.33234018
0.17778172	0.33234018
0.1877817	0.33234018
0.19778171	0.33234018
0.20485277	0.32526913
0.21485278	0.32526913
0.22192386	0.31819806
0.22899492	0.311127
0.236066	0.30405593
0.24313706	0.29698488
0.24313708	0.2869849
0.25020814	0.2799138
0.25727922	0.27284274
0.2643503	0.2657717
0.25727922	0.27284274
0.25020814	0.2799138
0.24313708	0.28698486
0.236066	0.29405594
0.22899492	0.30112702
0.22192386	0.30819806
0.21485278	0.31526914
0.20778172	0.3223402
0.20071064	0.32941127
0.19363956	0.33648232
0.1865685	0.3435534
0.17949742	0.35062444
0.17242636	0.35769552
0.16535528	0.36476657
0.1582842	0.37183765
0.15121314	0.3789087
0.16121313	0.3789087
0.16828421	0.37183765
0.17535529	0.36476657
0.18242635	0.35769552
0.17535527	0.36476657
0.16828421	0.37183765
0.16121313	0.3789087
0.15121314	0.3789087
0.14121313	0.3789087
0.13121313	0.3789087
