x	y	angle
-0.5	0.5	NA
-0.5	0.45	NA
-0.5	0.39999998	NA
-0.5	0.34999996	NA
-0.5	0.29999995	NA
-0.5	0.24999996	NA
-0.5	0.19999996	NA
-0.5	0.14999996	NA
-0.5	0.099999964	NA
-0.5	0.049999963	NA
-0.5	-3.7252903E-8	NA
-0.5	-0.050000038	NA
-0.5	-0.10000004	NA
-0.5	-0.15000004	NA
-0.5	-0.20000003	NA
-0.5	-0.25000003	NA
-0.5	-0.30000004	NA
-0.5	-0.35000005	NA
-0.5	-0.40000007	NA
-0.5	-0.45000008	NA
-0.45	0.5	NA
-0.45	0.45	NA
-0.45	0.39999998	NA
-0.45	0.34999996	NA
-0.45	0.29999995	NA
-0.45	0.24999996	0.0
-0.45	0.19999996	0.0
-0.45	0.14999996	NA
-0.45	0.099999964	NA
-0.45	0.049999963	0.0
-0.45	-3.7252903E-8	0.0
-0.45	-0.050000038	NA
-0.45	-0.10000004	NA
-0.45	-0.15000004	NA
-0.45	-0.20000003	NA
-0.45	-0.25000003	NA
-0.45	-0.30000004	NA
-0.45	-0.35000005	NA
-0.45	-0.40000007	NA
-0.45	-0.45000008	NA
-0.39999998	0.5	NA
-0.39999998	0.45	NA
-0.39999998	0.39999998	NA
-0.39999998	0.34999996	NA
-0.39999998	0.29999995	0.0
-0.39999998	0.24999996	0.0
-0.39999998	0.19999996	0.0
-0.39999998	0.14999996	0.0
-0.39999998	0.099999964	0.0
-0.39999998	0.049999963	0.0
-0.39999998	-3.7252903E-8	0.0
-0.39999998	-0.050000038	0.0
-0.39999998	-0.10000004	NA
-0.39999998	-0.15000004	NA
-0.39999998	-0.20000003	NA
-0.39999998	-0.25000003	NA
-0.39999998	-0.30000004	NA
-0.39999998	-0.35000005	NA
-0.39999998	-0.40000007	NA
-0.39999998	-0.45000008	NA
-0.34999996	0.5	NA
-0.34999996	0.45	NA
-0.34999996	0.39999998	NA
-0.34999996	0.34999996	0.0
-0.34999996	0.29999995	0.0
-0.34999996	0.24999996	0.0
-0.34999996	0.19999996	0.0
-0.34999996	0.14999996	0.0
-0.34999996	0.099999964	0.0
-0.34999996	0.049999963	0.0
-0.34999996	-3.7252903E-8	0.0
-0.34999996	-0.050000038	0.0
-0.34999996	-0.10000004	0.0
-0.34999996	-0.15000004	NA
-0.34999996	-0.20000003	NA
-0.34999996	-0.25000003	0.0
-0.34999996	-0.30000004	0.0
-0.34999996	-0.35000005	NA
-0.34999996	-0.40000007	NA
-0.34999996	-0.45000008	NA
-0.29999995	0.5	NA
-0.29999995	0.45	NA
-0.29999995	0.39999998	2.3561945
-0.29999995	0.34999996	0.0
-0.29999995	0.29999995	0.0
-0.29999995	0.24999996	0.0
-0.29999995	0.19999996	0.0
-0.29999995	0.14999996	0.0
-0.29999995	0.099999964	0.0
-0.29999995	0.049999963	0.0
-0.29999995	-3.7252903E-8	0.7853982
-0.29999995	-0.050000038	0.0
-0.29999995	-0.10000004	0.0
-0.29999995	-0.15000004	0.0
-0.29999995	-0.20000003	0.0
-0.29999995	-0.25000003	0.0
-0.29999995	-0.30000004	0.0
-0.29999995	-0.35000005	0.0
-0.29999995	-0.40000007	2.3561945
-0.29999995	-0.45000008	2.3561945
-0.24999996	0.5	NA
-0.24999996	0.45	2.3561945
-0.24999996	0.39999998	2.3561945
-0.24999996	0.34999996	2.3561945
-0.24999996	0.29999995	0.0
-0.24999996	0.24999996	0.0
-0.24999996	0.19999996	0.0
-0.24999996	0.14999996	0.0
-0.24999996	0.099999964	0.0
-0.24999996	0.049999963	0.7853982
-0.24999996	-3.7252903E-8	0.7853982
-0.24999996	-0.050000038	0.7853982
-0.24999996	-0.10000004	0.0
-0.24999996	-0.15000004	0.0
-0.24999996	-0.20000003	0.0
-0.24999996	-0.25000003	0.0
-0.24999996	-0.30000004	0.0
-0.24999996	-0.35000005	2.3561945
-0.24999996	-0.40000007	2.3561945
-0.24999996	-0.45000008	2.3561945
-0.19999996	0.5	NA
-0.19999996	0.45	2.3561945
-0.19999996	0.39999998	2.3561945
-0.19999996	0.34999996	2.3561945
-0.19999996	0.29999995	0.0
-0.19999996	0.24999996	0.0
-0.19999996	0.19999996	0.0
-0.19999996	0.14999996	0.0
-0.19999996	0.099999964	0.7853982
-0.19999996	0.049999963	0.7853982
-0.19999996	-3.7252903E-8	0.7853982
-0.19999996	-0.050000038	0.7853982
-0.19999996	-0.10000004	0.0
-0.19999996	-0.15000004	0.0
-0.19999996	-0.20000003	0.0
-0.19999996	-0.25000003	0.0
-0.19999996	-0.30000004	0.0
-0.19999996	-0.35000005	2.3561945
-0.19999996	-0.40000007	2.3561945
-0.19999996	-0.45000008	2.3561945
-0.14999996	0.5	NA
-0.14999996	0.45	NA
-0.14999996	0.39999998	2.3561945
-0.14999996	0.34999996	3.1415927
-0.14999996	0.29999995	3.1415927
-0.14999996	0.24999996	0.0
-0.14999996	0.19999996	0.0
-0.14999996	0.14999996	0.0
-0.14999996	0.099999964	0.0
-0.14999996	0.049999963	0.0
-0.14999996	-3.7252903E-8	0.7853982
-0.14999996	-0.050000038	3.1415927
-0.14999996	-0.10000004	3.1415927
-0.14999996	-0.15000004	3.1415927
-0.14999996	-0.20000003	0.0
-0.14999996	-0.25000003	0.0
-0.14999996	-0.30000004	0.0
-0.14999996	-0.35000005	0.0
-0.14999996	-0.40000007	2.3561945
-0.14999996	-0.45000008	2.3561945
-0.099999964	0.5	NA
-0.099999964	0.45	NA
-0.099999964	0.39999998	0.0
-0.099999964	0.34999996	3.1415927
-0.099999964	0.29999995	3.1415927
-0.099999964	0.24999996	3.1415927
-0.099999964	0.19999996	2.3561945
-0.099999964	0.14999996	0.0
-0.099999964	0.099999964	0.0
-0.099999964	0.049999963	0.0
-0.099999964	-3.7252903E-8	0.0
-0.099999964	-0.050000038	3.1415927
-0.099999964	-0.10000004	3.1415927
-0.099999964	-0.15000004	3.1415927
-0.099999964	-0.20000003	0.0
-0.099999964	-0.25000003	0.0
-0.099999964	-0.30000004	0.0
