x	y
0.0	-0.4
6.123234E-19	-0.39000002
1.2246468E-18	-0.38
1.8369702E-18	-0.37
-0.1	-0.36
-0.2	-0.35
-0.2	-0.34
-0.3	-0.33
-0.3	-0.33
-0.29292893	-0.32292894
-0.28585786	-0.31585786
-0.2787868	-0.3087868
-0.27171573	-0.30171573
-0.26464465	-0.29464468
-0.2575736	-0.2875736
-0.25050253	-0.28050253
-0.24343146	-0.27343148
-0.2363604	-0.2663604
-0.22928932	-0.25928932
-0.22221826	-0.25221828
-0.2151472	-0.2451472
-0.13736545	-0.3087868
-0.13736545	-0.3087868
-0.13736545	-0.29878682
-0.13736545	-0.2887868
-0.13736545	-0.2787868
-0.13736545	-0.26878682
-0.037365444	-0.2587868
-0.037365444	-0.2487868
-0.037365444	-0.2387868
-0.037365444	-0.22878681
-0.037365444	-0.2187868
-0.037365444	-0.20878682
0.06263456	-0.19878681
0.06263456	-0.1887868
0.06263456	-0.17878681
0.06263456	-0.16878681
0.06263456	-0.1587868
0.06263456	-0.14878681
0.16263455	-0.13878681
0.16263455	-0.13878681
0.15556349	-0.13171574
0.14849243	-0.124644674
0.14142136	-0.11757361
0.13435028	-0.11050254
0.12727922	-0.10343147
0.12020815	-0.09636041
0.12020815	-0.09636041
0.12020815	-0.0863604
0.22020815	-0.0863604
0.21313709	-0.07928934
0.20606601	-0.07221827
0.19899495	-0.0651472
0.19192389	-0.058076136
0.18485281	-0.051005065
0.17778175	-0.043934
0.17071068	-0.036862932
0.16363962	-0.029791864
0.15656854	-0.022720797
0.14949748	-0.015649728
0.14242642	-0.008578661
0.20606603	0.069203086
0.19899495	0.07627416
0.19192389	0.08334522
0.18485282	0.09041629
0.17778175	0.09748735
0.17071068	0.10455842
0.16363962	0.11162949
0.15656854	0.11870056
0.14949748	0.12577163
0.14242642	0.13284269
0.13535534	0.13991377
0.12828428	0.14698483
0.12828428	0.14698483
0.11828428	0.14698483
0.11828428	0.14698483
0.11121321	0.1540559
0.11121321	0.1540559
0.10121321	0.1540559
0.10121321	0.1540559
0.09414214	0.16112697
0.09414214	0.16112697
0.08414214	0.16112697
0.08414214	0.16112697
0.07707108	0.16819803
0.07707108	0.16819803
0.06707107	0.16819803
0.06707107	0.16819803
0.060000006	0.1752691
0.060000006	0.1752691
0.05000001	0.1752691
0.05000001	0.1752691
0.04292894	0.18234017
0.04292894	0.18234017
0.03292894	0.18234017
0.03292894	0.18234017
0.025857873	0.18941124
